book,author(s),original_language,first_published,approximate_sales_in_millions,amazon_link
Peyton Place ,Grace Metalious,English,1956,12.1,https://www.amazon.com/Peyton-Place-Metalious-Grace-ebook/dp/B08B9TWCPT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8LtDiw3bFAh5iQpZWIHZn6uyIssczCRlbaGrZwYlIVvt8dfr_yWY7rXcuLl_Q96yXcgOV0E6RFwVCXnAJ8xdgJG1vAO3eFpRGtFW9gmkkrU5cHtMAGQvBdvQs_ZI6Th0iccwdlb-jFgYFAcWGuqL3T4sjll6oFRWNqtnsIOulCP6ghHDqSrSaOB5pTNpSDmqshIVmtxwpAuVthaVjknVIMKnjW5Qrt2VYr9qcyDyX_U.kcCrvXKh2V4aztQu2TrVbmILV9XACF8ZaG9HfpRRPtk&dib_tag=se&keywords=Peyton+Place&qid=1731969895&sr=8-4
The Giver,Lois Lowry,English,1993,12.0,https://www.amazon.com/Giver-Lois-Lowry/dp/0544336267
Me Before You,Jojo Moyes,English,2012,12.0,https://www.amazon.com/Me-Before-You-Novel/dp/0143124544
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12.0,https://www.amazon.com/Norwegian-Wood-Haruki-Murakami/dp/0375704027
The Plague (La Peste),Albert Camus,French,1947,12.0,https://www.amazon.com/Plague-Albert-Camus/dp/0679720219
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12.0,https://www.amazon.com/No-Longer-Human-Osamu-Dazai/dp/0811204812
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12.0,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11.5,https://www.amazon.com/Divine-Comedy-Dante-Alighieri/dp/0142437220
The Prophet,Kahlil Gibran,English,1923,11.0,https://www.amazon.com/Prophet-Kahlil-Gibran/dp/0394404289
The Boy in the Striped Pyjamas,John Boyne,English,2006,11.0,https://www.amazon.com/Boy-Striped-Pajamas-John-Boyne/dp/0385751532
The Exorcist,William Peter Blatty,English,1971,11.0,https://www.amazon.com/Exorcist-William-Peter-Blatty/dp/0061007226
The Gruffalo,Julia Donaldson,English,1999,10.5,https://www.amazon.com/Gruffalo-Julia-Donaldson/dp/0142403873
Fifty Shades Darker,E. L. James,English,2012,10.4,https://www.amazon.com/Fifty-Shades-Darker-Book-Two/dp/0345803493
Tobacco Road,Erskine Caldwell,English,1932,10.0,https://www.amazon.com/Tobacco-Road-Novel-Erskine-Caldwell-ebook/dp/B0054TB664/ref=sr_1_1?dib=eyJ2IjoiMSJ9.IUCkLDVyN0VsAU9v-9qAHCwaQOgnh8E1_jaD9kBA3qbk_7U_gckAnD2NClawCcoGw3wIR79QwEcYsrUxUxneoBxKOlk9D0G34QizOmUTlhmJ2u82SpNxe5WMoel275IiilmXt4ApMgbRSX1yCZ7tfMn0FYjIkay0Tc5yPZuaORQ1q4qoqnjlEFCXtmc5-HfHasMPFAQeYA8UMIx1rT7gZYAQwxRpE8FaBH4uk2UP9wg.fNjifH4eo88VzlQXbTBpAURrEtIT77pA7GI0uPeFgi4&dib_tag=se&keywords=Tobacco+Road&qid=1731970041&sr=8-1
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10.0,https://www.amazon.com/Ronia-Robbers-Daughter-Astrid-Lindgren/dp/0140317201
The Cat in the Hat,Dr. Seuss,English,1957,10.5,https://www.amazon.com/Cat-Hat-Dr-Seuss/dp/039480001X
Diana: Her True Story,Andrew Morton,English,1992,10.0,https://www.amazon.com/Diana-Her-True-Story-Own/dp/0671024124
The Help,Kathryn Stockett,English,2009,10.0,https://www.amazon.com/Help-Kathryn-Stockett/dp/0425232204
Catch-22,Joseph Heller,English,1961,10.0,https://www.amazon.com/Catch-22-Joseph-Heller/dp/1451626657
The Stranger (L'Étranger),Albert Camus,French,1942,10.0,https://www.amazon.com/Stranger-Albert-Camus/dp/0679420266
Eye of the Needle,Ken Follett,English,1978,10.0,https://www.amazon.com/Eye-Needle-Novel/dp/B08PG5XYWR/ref=sr_1_1?dib=eyJ2IjoiMSJ9.J3-m2m8Vpk2fnH8pIF8qY2kXbKfIUrV5JWlPdZxYC8ywl3s6OWQTmB9P9CeoLH8OZMDbU_21_caK832njLp2TZ2I7eH1p9MjrquGWbYkEveW8mV_9_W5N_RRbyfKXm94-CfJca7YyCpgu3NJ_Th0mEbRMXsLF7CnreCajPLMvP5NPEyo4tD0BqrQHwQm2I1pJ8vXjJPoj_96xHbkJFuf7PijzLNW5_VA-8JD3vgtVxY.o5MVdNuSsCWfnquvYI4PF3bnDjSDTCvJv_LgqBELPN0&dib_tag=se&keywords=Eye+of+the+Needle&qid=1731970128&sr=8-1
The Lovely Bones,Alice Sebold,English,2002,10.0,https://www.amazon.com/Lovely-Bones-Novel-Alice-Sebold/dp/0316044938
Wild Swans,Jung Chang,English,1992,10.0,https://www.amazon.com/Wild-Swans-Three-Daughters-China/dp/0743246985
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10.0,https://www.amazon.com/Santa-Evita-Tomas-Eloy-Martinez/dp/0679768149/ref=sr_1_1?dib=eyJ2IjoiMSJ9._5xDKaOyAD62nhDwtU0jZObUTMrf0k0jQJpUCdlaqbw_n_ZYuG12DCLcEuF515X8IgwF3gO0d7pH2Mr3MNpomuOvvKmOYDcuYSYlKKZynwW_KlCSyOlpzB4x8NQQPB-5F7I9WZ3SDK9tLNDiRAvoQ4s3hfEFQ31-uMOyE8dUR8j--6gsCqYRMqoYjRz1F-MIjYOYGas1xxQYHJTJLAiF9uxZfCc2rmu0sm1OJv_u1mI.TSHBIYotXoWT2bwXF5g2aGL9eTrbLcRZj7w1jtx3oIk&dib_tag=se&keywords=Santa+Evita&qid=1731970162&sr=8-1
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10.0,https://www.amazon.com/Night-Elie-Wiesel/dp/0374500010
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10.0,https://www.amazon.com/Confucius-Heart-Yu-Dan/dp/1529045843/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ReD_KTYAtuvlMJKpZQ4UZm_TiBmwWcFwTi1Hf6VDC8PIlt34Fz8gbP4H1tO-Tj1QF-uTA-_OlltMeUcARU2kkOxicekhh1clK0biGfKcQw0ILWnf2HGkLXy6k1NRk-FTJIUUbhsIFouZ-KVIKrsXYyESt5il8CX-mIj5TA1EAxg.wUfbgbCm6W_ij2sWmAcShKyJNQ-q6HovgFikzdqBqLE&dib_tag=se&keywords=Confucius+from+the+Heart&qid=1731970189&sr=8-1
The Total Woman,Marabel Morgan,English,1974,10.0,https://www.amazon.com/Total-Woman-Marabel-Morgan/dp/0671732110/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QoW35si5I23roRl8tVuObRp0tDvAHygN4ruuDeGkt_wfsWHL53-HvvVkvq2h4-pl2SQEBwzDVmy52wMuC59paxfgqKa0fY8Tr9LXKgtvcIKju73B3ipwQWYd1gfyIXeeM6D_H_NB1bVlcahkCTXQvmahYZdkhMGTIPlO_O0noZ3LqQoVVUFR-tsHbcMaieBTr-7uR4bczvBviigCA8cn5Iztbwk6jk43OI5VqyvhgbQ.yvWiKUmbtbufrmvts13hwEGj2t2pb2ME5SFXive_WSw&dib_tag=se&keywords=The+Total+Woman&qid=1731970209&sr=8-1
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10.0,https://www.amazon.com/Knowledge-Value-Revolution-Japanese-Prosperity/dp/1568360002
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10.0,https://www.amazon.com/What-Color-Your-Parachute-2022/dp/198485786X
The Dukan Diet,Pierre Dukan,French,2000,10.0,https://www.amazon.com/Dukan-Diet-2-Steps-Permanent-Weight/dp/0307887960
The Joy of Sex,Alex Comfort,English,1972,10.0,https://www.amazon.com/Joy-Sex-Revised-Completely-Updated/dp/1400046149/ref=sr_1_1?dib=eyJ2IjoiMSJ9.IjtopcdAJULkp4Sf3Tz5CEWLvnQZBstJ_-HfhMRDDhKu89dxVTPmi0_R6dyA1YhNhhxS3juwNfQpfaH1bmvln1C5bIk32i-mZnCgv6yydsltQRA2siVI8fsv1f3BZcMgPJpQ8dE81XbzL2_BAR4F9gBNlzcB_Z9VefjShUwK0y4BFpqPPgmX5bhSnZI8ujJypoIeA5xhozgbcn7KWO589ca__Sm7W_bX_YY24KJ-0kxvzfqjFOiIWVRpRox8VODZyNPW0V9BAB2hy8CQE65rUH8HloHzlXIjRvXAxgxffPE.GA-FuqZH4PfgsRSTw1z6H6aOCgK8eHZyUUzpc49VLJE&dib_tag=se&keywords=The+Joy+of+Sex&qid=1731970294&sr=8-1
The Gospel According to Peanuts,Robert L. Short,English,1965,10.0,https://www.amazon.com/Gospel-According-Peanuts-Robert-Short/dp/0664222226
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10.0,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713
Life of Pi,Yann Martel,English,2001,10.0,https://www.amazon.com/Life-Pi-Yann-Martel/dp/0156027321
The Front Runner,Patricia Nell Warren,English,1974,10.0,https://www.amazon.com/Front-Runner-Patricia-Nell-Warren/dp/0964109964
The Goal,Eliyahu M. Goldratt,English,1984,10.0,https://www.amazon.com/Goal-Process-Ongoing-Improvement/dp/0884271951
Fahrenheit 451,Ray Bradbury,English,1953,10.0,https://www.amazon.com/Fahrenheit-451-Ray-Bradbury/dp/1451673310
Angela's Ashes,Frank McCourt,English,1996,10.0,https://www.amazon.com/Angelas-Ashes-Memoir-Frank-McCourt/dp/068484267X
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1929,10.0,https://www.amazon.com/Story-Experiments-Truth-Autobiography/dp/0486245934
Bridget Jones's Diary,Helen Fielding,English,1996,10.0,https://www.amazon.com/Bridget-Joness-Diary-Helen-Fielding/dp/014028009X
