book,author(s),original_language,first_published,approximate_sales_in_millions,amazon_link
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50.0,https://www.amazon.com/dp/055321313X
Black Beauty,Anna Sewell,English,1877,50.0,https://www.amazon.com/dp/0141321032
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50.0,https://www.amazon.com/dp/0544176561
The Eagle Has Landed,Jack Higgins,English,1975,50.0,https://www.amazon.com/Eagle-Landed-Liam-Devlin-Book-ebook/dp/B004RDKPMO/ref=sr_1_1?crid=1FHAL0TK0YSII&dib=eyJ2IjoiMSJ9.BnK4JODA-B_ols2tPaqr7vkYx99jD47AI2Tpma32dz141f5kEDA-tmJ55Qyk52wR7BXGD1W3iRH_TfyWnI6vvt3cQ29QUkfakpFq85AdVEYiFeQhLGZU6zcTaZlkntlxXZurlfwgGTAqLkNNCqmQ5_gxk9C8jWcYTgLeGpNLiVv08sdhviFvkRmD39E6qnJ-2scb2fH_KAe-q8JHbKlqdwYwX0F4YJtHjnp7y-CJmok.R9xT8yW8-Ry_DPK_yIj8paSEpNSLMff9ujzHRtCmfOE&dib_tag=se&keywords=the+eagle+has+landed+book&qid=1731968229&sprefix=the+eagle+has+landed+b%2Caps%2C113&sr=8-1
Watership Down,Richard Adams,English,1972,50.0,https://www.amazon.com/dp/0743277708
The Hite Report,Shere Hite,English,1976,50.0,https://www.amazon.com/Hite-Report-National-Female-Sexuality/dp/1583225692/ref=sr_1_1?crid=1UO3EVZ3KQJ6Q&dib=eyJ2IjoiMSJ9.68JusdHbX8GOjrZ8w0XKjku34ZItfPVVCfrVw3n8kfdrdCoUd8ACUasaLlpUCNr9t3ttS2Vkfhb_iazLQ834lrYdL7CF4k8xCpoaJDTmSYj_OdT0WFnMjzFJTwY8Jm0Jydd_uO1OsdgR4Sd8NoQ20HluMBf5bc05xV3QxeoRepVCLfPQ-9hE7HKDO_L4ZMSvQP49XMFWRxWjtwW24xRIvpNBbudIbuwWuaSVw4hiIoQ.595o6OUhAwZoNkEKNfG1DChl-vNffMdvlvikIXIYojA&dib_tag=se&keywords=The+Hite+Report&qid=1731968265&s=books&sprefix=the+hite+report%2Cstripbooks%2C87&sr=1-1
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50.0,https://www.amazon.com/dp/0064400557
The Ginger Man,J. P. Donleavy,English,1955,50.0,https://www.amazon.com/Ginger-Man-J-P-Donleavy/dp/0802144667/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EZ7y0P3AllpUSr31d-IDmAZbTUrUuxqHE-w_tkMCOOhwsgNjuAzd50MT_uH8G6v11TVLZuw-gM-jpw5zPI0V2O6VC6AiD07MgQlZ7Utsak8qp63aX-IlRt08GK0j0En_o1Cd3iECHudBhlcfDpJmaRGMUvKWnkKIo8lRnZXEC71BDhuKm1osI-W7UrJQMgHbtRcZp7pDrwcTNvizENk9E954dmadTGYOl0-eHkbyq4U.OqJMhJG968f0s9M8SOUXoIs6Um6NoTZJ54VOcSU9ubw&dib_tag=se&keywords=the+ginger+man&qid=1731968296&sr=8-1
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45.0,https://www.amazon.com/dp/0723247706
Jonathan Livingston Seagull,Richard Bach,English,1970,44.0,https://www.amazon.com/dp/0743278909
The Very Hungry Caterpillar,Eric Carle,English,1969,43.0,https://www.amazon.com/dp/0399226907
A Message to Garcia,Elbert Hubbard,English,1899,40.0,https://www.amazon.com/Message-Garcia-Essential-Essays-Success/dp/1941129692/ref=sr_1_1?crid=2F4PUYPWUMLFK&dib=eyJ2IjoiMSJ9.U0G2zmQqnPs2Arh4sNGaPmVlBlHwia-ymx_bufXdtRowJg2OGnC3Lyc1likWEZJ7TS5zQEjpOVruEQ2m9tL1dABXXusHZkHufqaa2z46C1j6_VYAY5JChc5DynQDo_LIBhxZyaaOyOzqkbG4BCdL3GOLAOfXQtcHdUYe3nixFm1RqVgIE9mPjXyDohgKqWZ-P2QJmul7tHhZfcUqbMZj9iuqqAxemOVWhCGkMAtHmx0.ypCh1UuP6SRc3VufygW6pLCNnRwmxVxvwyP9dPCD2YQ&dib_tag=se&keywords=A+Message+to+Garcia&qid=1731968352&s=books&sprefix=a+message+to+garcia%2Cstripbooks%2C93&sr=1-1
To Kill a Mockingbird,Harper Lee,English,1960,40.0,https://www.amazon.com/dp/0060935464
Flowers in the Attic,V. C. Andrews,English,1979,40.0,https://www.amazon.com/Flowers-in-Attic-audiobook/dp/B07RK47YK1/ref=sr_1_1?crid=2H16XVDJ8Y7GV&dib=eyJ2IjoiMSJ9.UOQufxeS8xz5T3Wk2AlMu279nHQouxGaLqMyRw3Y7tdZ9nKQCzAzbzptpXfFPzi8QO2aLyXXrJ4u-mO9aByJLr6J5ZP4rCOoiLPowsfqYdaDnT9UZ0oTqD5Huiopdz3FFmDlYoT6LGGDRT--Fn3Bb-sw2aDarcc3I21jNq3WLiGw_OJjoI3fGbDHldOeMXL-MtF9fI_AujjNwNjpmhJiLbwlFVk2Mpb16Knmbxw3nXM.KYxeZEknlsEVCseEDeHWY9qQ_F5o_nV8vkfOTRVNsG8&dib_tag=se&keywords=Flowers+in+the+Attic&qid=1731968438&s=books&sprefix=flowers+in+the+attic%2Cstripbooks%2C166&sr=1-1
Cosmos,Carl Sagan,English,1980,40.0,https://www.amazon.com/Cosmos-Carl-Sagan-audiobook/dp/B06XTYCPST/ref=sr_1_1?crid=2HR0IS00OCHQF&dib=eyJ2IjoiMSJ9.PjbQ4XNSBpXqwEdZmo0hVlY-jj0kf5R7n9Hi7Fmjqrnm2PXjISIitbprb4zYsWLG_nTRrsnLroRjPs1rzpVzy82DeKH20W718dLpInr-qvWoE5DyeXGCO0DG2jM1rXfQBiSpzgVTB3kk2viNxAJ-R2ORjR0g4Zs63Z9iFjoth2SgILtygOfGgmcp2ZTRwgEyi9IrLoEbMFRFNLDkJN9Z9I9QOgQcScBmY9-_ecqhHNU.Lkxi7omL9y2CsH1qteBOxxLmggdIvv8_5X5g-LTqR04&dib_tag=se&keywords=Cosmos&qid=1731968456&s=audible&sprefix=cosmos%2Caudible%2C141&sr=1-1
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40.0,https://www.amazon.com/Sophies-World-Jostein-Gaarder-audiobook/dp/B000OZ0J0C/ref=sr_1_1?crid=1250TXESVTNJS&dib=eyJ2IjoiMSJ9.8e188ISDl8NQbL6kJVPKIQ.OU0YB-P8w3eqsQYB5n1kusp-E_gM9lkr5usjDg2T9os&dib_tag=se&keywords=Sophie%27s+World+%28Sofies+verden%29&qid=1731968482&s=audible&sprefix=sophie%27s+world+sofies+verden+%2Caudible%2C88&sr=1-1
Angels & Demons,Dan Brown,English,2000,39.0,https://www.amazon.com/Angels-Demons-Robert-Langdon/dp/0743486226
Kane and Abel,Jeffrey Archer,English,1979,37.0,https://www.amazon.com/Kane-Abel-Jeffrey-Archer/dp/125019959X/ref=sr_1_1?dib=eyJ2IjoiMSJ9.HqpijO5Lp88okAgKTreLLJR4wigVcHYs4arrPc7-4_5p-Ujc_WQE3RH0v-kUF623qr9fAk_AjJd2-k69di1K0rNxjq5nO6_cv7yhSN4HflHjUy1MpPar5Q07A-ABBk_q1MSshsQMNmdEpbnuBY_q2P9ujN-u4eQMILDuGRco2a5E0Lg-5pKIgJa_XHBxhuH3vh8a7S-FE8g3GqYiaHFpkdbxz5BV5t0y37sLBITDzyM.MzfC5eDSBVjk7ESe-FxhHx2b6o2BgVMCArxTlOgjpk4&dib_tag=se&keywords=Kane+and+Abel&qid=1731968535&sr=8-1
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4,https://www.amazon.com/How-Steel-Was-Tempered-Part/dp/1775289036/ref=sr_1_1?dib=eyJ2IjoiMSJ9.MtLf2tr7s7fu_hePtARQwYrH1YCiCs3fP-SLkvM1DX1wytXYHARU0yiTBWOA3T7iN-yyRaTtFcSMaA2G4VN2YwtH9wzFpb2-3wZZNpO061PbG6Lrzfkgjrno2PI2nnhlvqxbtfCNh8ygbwnKffBNUITXoDHmgARXO0OrtTZ8572861xWUfcYRWWpGGY8GaECDb5XUl6-sOGZtjTSCWaQDFIWKkRu1t8bcqneViIu7Y0.XX4m5frEVbUSQ657ubkvkGD8pz4capz2thQCCj8JITs&dib_tag=se&keywords=How+the+Steel+Was+Tempered&qid=1731968562&sr=8-1
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36.0,https://www.amazon.com/War-Peace-Leo-Tolstoy/dp/0199232768
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35.0,https://www.amazon.com/Adventures-Pinocchio-Avventure-English-Italian-Inglese-Italiano/dp/B0BD24W4MM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.N5F9iJ0_1cuUQCkPleVjc52-wqNDaiUOLii4m-2lhS9cPE150brUILXTE1wqBM5SJcZYldikGelHZ8X1uD2KSGLGtoP_BiMWupEP-NuKgFTVRMQ5lJmufu9t5tbUaqh2prYtfNyD5E_tKTabVOSvVT9jddXps10wbhphC95Ynwu4VuTZ2FuFT2Qb29wZcxSYvViDzju-3gJKD_--xR0vxl8sp0-HcsNN2gQ_M-0PWXY.VseohZKcPhWk-O3OMSbS8rfOYyDlmuKzHEZOW52sAF4&dib_tag=se&keywords=The+Adventures+of+Pinocchio+%28Le+avventure+di+Pinocchio%29&qid=1731968600&sr=8-2
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35.0,https://www.amazon.com/Diary-Young-Girl-Definitive/dp/0553577123/ref=sr_1_1?crid=PF5GPAFX40XC&dib=eyJ2IjoiMSJ9.WQZMa_WO2brzgw7ouYbCjlu79M8-MY1l9zMNhqUvy-UNtYGQxla53R9FQ5NYt7A0TLoS6Q_f7dY0vVO6pU-Hs0Yju3Us2kzfi5Xf-TWrTvxJnAj2j-RWely8E4dt7I37NcsGHi0H7Rrl_ukDLt_-JCP2XXR1BIMj7psalejR2Z8_W6uMpal_LHt6UOXO0gkry1cxlgPFuhT3178fv_m7Xv6wvWriLh-tZN_7P52Wp3M.7ksjGwxrkqUalsr7rOhXeG9DqJrHKbpa1aUkxZVhq2E&dib_tag=se&keywords=The+Diary+of+Anne+Frank+%28Het+Achterhuis%29&qid=1731968633&sprefix=the+diary+of+anne+frank+het+achterhuis+%2Caps%2C101&sr=8-1
